Date,Close,% Change,Delta_MM,Raised,Next Raised
2025-01-11 00:00:00+00:00,94566.59375,-0.1424047578467369,533.0748511904821,0,0.0
2025-01-12 00:00:00+00:00,94488.4375,-0.08264678561502592,31.461458333331393,0,1.0
2025-01-13 00:00:00+00:00,94516.5234375,0.029724205673309356,-1114.5148809523816,1,1.0
2025-01-14 00:00:00+00:00,96534.046875,2.1345722040169157,-1429.4262648809527,1,1.0
2025-01-15 00:00:00+00:00,100504.4921875,4.11299996325778,-1120.9738095238135,1,0.0
2025-01-16 00:00:00+00:00,99756.90625,-0.7438333563293043,-437.8026785714319,0,1.0
2025-01-17 00:00:00+00:00,104462.0390625,4.716598568833419,451.5558035714348,1,0.0
2025-01-18 00:00:00+00:00,104408.0703125,-0.051663504258914195,1437.4383184523758,0,0.0
2025-01-19 00:00:00+00:00,101089.609375,-3.1783567377192568,2190.2373511904734,0,1.0
2025-01-20 00:00:00+00:00,102016.6640625,0.9170622908047932,3014.9058035714406,1,1.0
2025-01-21 00:00:00+00:00,106146.265625,4.047967653568851,4116.867931547618,1,0.0
2025-01-22 00:00:00+00:00,103653.0703125,-2.3488299826845638,4117.973660714284,0,1.0
2025-01-23 00:00:00+00:00,103960.171875,0.2962783076025932,4123.996949404769,1,1.0
2025-01-24 00:00:00+00:00,104819.484375,0.8265785680243276,3352.697544642855,1,0.0
2025-01-25 00:00:00+00:00,104714.6484375,-0.10001569662844156,2728.9480654761865,0,0.0
2025-01-26 00:00:00+00:00,102682.5,-1.9406534499448846,2415.4434523809614,0,0.0
2025-01-27 00:00:00+00:00,102087.6875,-0.5792734886665207,1918.9729910714377,0,0.0
2025-01-28 00:00:00+00:00,101332.4765625,-0.7397669160641884,776.8919642857072,0,1.0
2025-01-29 00:00:00+00:00,103703.2109375,2.3395602825692086,306.11063988094975,1,1.0
2025-01-30 00:00:00+00:00,104735.3046875,0.9952379879751394,134.78973214286088,1,0.0
2025-01-31 00:00:00+00:00,102405.0234375,-2.2249243050878498,-386.6744047618995,0,0.0
2025-02-01 00:00:00+00:00,100655.90625,-1.7080384621634526,-712.7525297618995,0,0.0
2025-02-02 00:00:00+00:00,97688.9765625,-2.947596219670423,-978.1734374999942,0,1.0
2025-02-03 00:00:00+00:00,101405.421875,3.804365081173988,-1096.6941220238077,1,0.0
2025-02-04 00:00:00+00:00,97871.8203125,-3.4846278405663456,-1314.7506696428609,0,0.0
2025-02-05 00:00:00+00:00,96615.4453125,-1.2836943218062724,-1691.9005952380976,0,0.0
2025-02-06 00:00:00+00:00,96593.296875,-0.022924323774897726,-2384.39300595237,0,0.0
2025-02-07 00:00:00+00:00,96529.0859375,-0.06647556256734743,-2728.406919642861,0,0.0
2025-02-08 00:00:00+00:00,96482.453125,-0.04830959709924976,-2768.812425595228,0,1.0
2025-02-09 00:00:00+00:00,96500.09375,0.018283765004545316,-2391.015848214287,1,1.0
2025-02-10 00:00:00+00:00,97437.5546875,0.9714611676219231,-2608.190997023805,1,0.0
2025-02-11 00:00:00+00:00,95747.4296875,-1.7345724709743937,-2488.991517857139,0,1.0
