Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2025-01-13,232.96802072299363,234.10527676213235,229.16719172961072,233.83592224121094,49630700,13,1,2025,-1.0344111869874384,0,0,240.61528669084822,247.6259969075521,-6.779364449637285,-13.790074666341155,-7.01071021670387,236.280029296875,242.11593627929688,241.62713623046875,244.41041564941406,242.7743682861328,0.0,1.0,0.0,1.0,0.0
2025-01-14,234.1850763475817,235.55177458449063,231.9105643637605,232.71861267089844,39435300,14,1,2025,-0.4778177619604307,0,1,239.10891723632812,246.527978515625,-6.3903045654296875,-13.809365844726557,-7.419061279296869,233.83592224121094,236.280029296875,242.11593627929688,241.62713623046875,244.41041564941406,0.0,0.0,1.0,0.0,1.0
2025-01-15,234.07533889356793,238.38495013235746,233.86583756026477,237.2975616455078,39832000,15,1,2025,1.967590353885762,1,0,238.3265162876674,245.42264302571616,-1.02895464215959,-8.125081380208343,-7.096126738048753,232.71861267089844,233.83592224121094,236.280029296875,242.11593627929688,241.62713623046875,0.0,0.0,0.0,1.0,0.0
2025-01-16,236.77883010316478,237.4372302632713,227.4812511099753,227.710693359375,71759100,16,1,2025,-4.0400197202423715,0,1,235.9408416748047,243.62630818684895,-8.230148315429688,-15.915614827473945,-7.685466512044258,237.2975616455078,232.71861267089844,233.83592224121094,236.280029296875,242.11593627929688,1.0,0.0,0.0,0.0,1.0
2025-01-17,231.5614090278119,231.73099810398455,227.93016912923343,229.4265594482422,68488300,17,1,2025,0.7535289904717857,1,0,234.1979021344866,241.74950052897137,-4.771342686244424,-12.32294108072918,-7.551598394484756,227.710693359375,237.2975616455078,232.71861267089844,233.83592224121094,236.280029296875,0.0,1.0,0.0,0.0,0.0
2025-01-21,223.46094530610958,223.87993275191027,218.85206818023312,222.10421752929688,98070400,21,1,2025,-3.191584242275669,0,1,231.3390851702009,239.3300038655599,-9.234867640904014,-17.225786336263013,-7.9909186953589995,229.4265594482422,227.710693359375,237.2975616455078,232.71861267089844,233.83592224121094,1.0,0.0,1.0,0.0,0.0
2025-01-22,219.26106511921876,223.58064673096774,219.26106511921876,223.29135131835938,64126500,22,1,2025,0.5344940326970304,1,0,229.48355974469865,237.21776529947917,-6.192208426339278,-13.926413981119794,-7.734205554780516,222.10421752929688,229.4265594482422,227.710693359375,237.2975616455078,232.71861267089844,0.0,1.0,0.0,1.0,0.0
2025-01-23,224.19918327232872,226.4836658384098,221.76505253825962,223.1217803955078,60234800,23,1,2025,-0.07594155431922545,0,0,227.95296805245536,235.319677734375,-4.831187656947549,-12.197897338867193,-7.3667096819196445,223.29135131835938,222.10421752929688,229.4265594482422,227.710693359375,237.2975616455078,1.0,0.0,1.0,0.0,1.0
2025-01-24,224.23906824814947,225.08702882156655,220.877182986192,222.24388122558594,54697900,24,1,2025,-0.3934618881068941,0,1,226.45657784598214,233.4814442952474,-4.212696620396201,-11.237563069661462,-7.024866449265261,223.1217803955078,223.29135131835938,222.10421752929688,229.4265594482422,227.710693359375,0.0,1.0,0.0,1.0,0.0
2025-01-27,223.48089669223063,231.59132137138346,223.44098442848647,229.3068389892578,94863400,27,1,2025,3.1780212461744783,1,1,225.31504603794642,232.55102030436197,3.991792951311396,-3.244181315104157,-7.235974266415553,222.24388122558594,223.1217803955078,223.29135131835938,222.10421752929688,229.4265594482422,0.0,0.0,1.0,0.0,1.0
